area_type,availability,size(BHK),total_sqft,bath,balcony,price,location,price_per_sqft
Super built-up  Area,Ready To Move,3.0,1025.0,2.0,1.0,47.0,Gokhale Nagar,4585.365853658536
Super built-up  Area,19-Dec,4.0,2475.0,4.0,0.0,186.0,Gultekdi,7515.151515151515
Super built-up  Area,Ready To Move,3.0,1075.0,2.0,1.0,35.0,Guruwar peth,3255.813953488372
Super built-up  Area,Ready To Move,3.0,1760.0,2.0,2.0,123.0,Hadapsar,6988.636363636364
Super built-up  Area,Ready To Move,3.0,1693.0,3.0,3.0,57.39,Hadapsar Industrial Estate,3389.84051978736
Built-up  Area,Ready To Move,3.0,1925.0,3.0,1.5845003933910307,125.0,Hingne Khurd,6493.506493506494
Super built-up  Area,21-Dec,2.0,700.0,2.0,1.0,36.0,Jangali Maharaj Road,5142.857142857143
Super built-up  Area,Ready To Move,2.0,1070.0,2.0,1.0,45.5,Kalyani Nagar,4252.336448598131
Super built-up  Area,Ready To Move,3.0,1724.0,3.0,2.0,125.0,Karve Nagar,7250.580046403712
Super built-up  Area,Ready To Move,3.0,1290.0,2.0,2.0,56.12,Karve Road,4350.387596899225
Built-up  Area,Ready To Move,2.0,1143.0,2.0,2.0,45.0,Kasba Peth,3937.0078740157483
Built-up  Area,Ready To Move,2.0,1296.0,2.0,1.5845003933910307,81.0,Katraj,6250.0
Super built-up  Area,19-Dec,3.0,1254.0,3.0,2.0,38.0,Khadaki,3030.3030303030305
Super built-up  Area,Ready To Move,1.0,600.0,1.0,0.0,38.0,Khadki,6333.333333333333
Plot  Area,Ready To Move,1.0,660.0,1.0,0.0,48.0,Kharadi,7272.727272727273
Super built-up  Area,19-Sep,2.0,1330.74,2.0,2.0,91.79,Kondhwa,6897.665960292769
Plot  Area,Ready To Move,8.0,600.0,9.0,1.5845003933910307,200.0,Kondhwa Budruk,33333.333333333336
Super built-up  Area,Ready To Move,2.0,970.0,2.0,0.0,33.0,Kondhwa Khurd,3402.061855670103
Super built-up  Area,20-Sep,2.0,1459.0,2.0,1.0,94.82,Koregaon Park,6498.971898560658
Plot  Area,Ready To Move,2.0,800.0,1.0,1.0,130.0,Kothrud,16250.0
Built-up  Area,Ready To Move,2.0,869.0,2.0,1.0,36.0,Law College Road,4142.692750287687
Super built-up  Area,Ready To Move,2.0,1270.0,2.0,1.0,50.0,Laxmi Road,3937.0078740157483
Super built-up  Area,18-Mar,3.0,1670.0,3.0,1.0,99.0,Lulla Nagar,5928.143712574851
Built-up  Area,Ready To Move,3.0,2010.0,3.0,2.0,91.0,Mahatma Gandhi Road,4527.363184079602
Super built-up  Area,Ready To Move,2.0,1185.0,2.0,2.0,75.0,Mangalwar peth,6329.113924050633
Super built-up  Area,Ready To Move,3.0,1600.0,2.0,3.0,75.0,Manik Bagh,4687.5
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,44.0,Market yard,3666.6666666666665
Built-up  Area,20-Feb,4.0,3210.0,2.6926619356786956,1.5845003933910307,192.0,Model colony,5981.308411214954
Super built-up  Area,Ready To Move,2.0,1500.0,2.0,2.0,185.0,Mukund Nagar,12333.333333333334
Plot  Area,Ready To Move,6.0,1407.0,4.0,1.0,150.0,Mundhawa,10660.980810234541
Super built-up  Area,Ready To Move,2.0,840.0,2.0,2.0,45.0,Nagar Road,5357.142857142857
Plot  Area,Ready To Move,3.0,4395.0,3.0,2.0,240.0,Nana Peth,5460.750853242321
Super built-up  Area,Ready To Move,2.0,845.0,2.0,1.0,55.0,Narayan Peth,6508.87573964497
Plot  Area,Ready To Move,4.0,5700.0,5.0,3.0,650.0,Narayangaon,11403.508771929824
Built-up  Area,Ready To Move,2.0,1160.0,2.0,2.0,44.0,Navi Peth,3793.103448275862
Built-up  Area,Ready To Move,8.0,3000.0,8.0,0.0,140.0,Padmavati,4666.666666666667
Super built-up  Area,Ready To Move,2.0,1100.0,2.0,1.0,62.0,Parvati Darshan,5636.363636363636
Super built-up  Area,18-Apr,2.0,1140.0,2.0,3.0,43.0,Pashan,3771.9298245614036
Super built-up  Area,Ready To Move,2.0,1220.0,2.0,1.0,57.0,Paud Road,4672.131147540984
Plot  Area,Ready To Move,8.0,1350.0,7.0,0.0,85.0,Pirangut,6296.2962962962965
Super built-up  Area,Ready To Move,2.0,1005.0,2.0,1.0,36.68,Prabhat Road,3649.7512437810947
Plot  Area,Ready To Move,3.0,500.0,3.0,2.0,100.0,Pune Railway Station,20000.0
Super built-up  Area,20-Aug,2.0,1358.0,2.0,1.0,80.58,Rasta Peth,5933.726067746687
Super built-up  Area,Ready To Move,3.0,1569.0,3.0,1.0,101.0,Raviwar Peth,6437.221159974506
Super built-up  Area,18-Apr,2.0,1240.0,2.0,1.0,70.0,Sadashiv Peth,5645.1612903225805
Super built-up  Area,Ready To Move,3.0,2089.0,3.0,2.0,140.0,Sahakar Nagar,6701.771182383915
Super built-up  Area,Ready To Move,2.0,1206.0,2.0,1.0,48.23,Salunke Vihar,3999.1708126036483
Super built-up  Area,Ready To Move,2.0,1150.0,2.0,3.0,40.0,Sasson Road,3478.2608695652175
Built-up  Area,Ready To Move,3.0,2511.0,3.0,3.0,205.0,Satara Road,8164.078056551175
Built-up  Area,Ready To Move,2.0,460.0,1.0,0.0,22.0,Senapati Bapat Road,4782.608695652174
Built-up  Area,Ready To Move,6.0,4400.0,6.0,3.0,250.0,Shaniwar Peth,5681.818181818182
Super built-up  Area,Ready To Move,3.0,1660.0,2.0,2.0,105.0,Shivaji Nagar,6325.301204819277
Built-up  Area,18-Oct,4.0,3203.5,2.6926619356786956,1.5845003933910307,224.5,Shukrawar Peth,7007.960043702201
Super built-up  Area,19-Mar,2.0,1326.0,2.0,2.0,78.0,Sinhagad Road,5882.35294117647
Super built-up  Area,Ready To Move,3.0,1325.0,2.0,2.0,60.8,Somwar Peth,4588.679245283019
Super built-up  Area,Ready To Move,3.0,1499.0,5.0,2.0,102.0,Swargate,6804.536357571715
Built-up  Area,Ready To Move,6.0,3000.0,7.0,2.0,210.0,Tilak Road,7000.0
Super built-up  Area,Ready To Move,3.0,1665.0,3.0,2.0,88.0,Uruli Devachi,5285.285285285286
Super built-up  Area,17-Sep,2.0,708.0,2.0,2.0,37.0,Vadgaon Budruk,5225.988700564972
Super built-up  Area,Ready To Move,2.0,1060.0,2.0,2.0,58.06,Wadgaon Sheri,5477.358490566037
Plot  Area,Ready To Move,6.0,710.0,6.0,3.0,160.0,Viman Nagar,22535.211267605635
Built-up  Area,Ready To Move,2.0,1000.0,2.0,2.0,70.0,Vishrant Wadi,7000.0
Super built-up  Area,18-Dec,2.0,1000.0,2.0,1.0,28.88,Wagholi,2888.0
Super built-up  Area,Ready To Move,3.0,1450.0,2.0,2.0,70.0,Wakadewadi,4827.586206896552
Plot  Area,Ready To Move,4.0,1200.0,4.0,2.0,155.0,Wanowrie,12916.666666666666
Super built-up  Area,17-Aug,2.0,1296.0,2.0,3.0,80.0,Warje,6172.83950617284
Super built-up  Area,Ready To Move,3.0,1540.0,3.0,2.0,90.0,Yerawada,5844.1558441558445
Plot  Area,Ready To Move,4.0,2894.0,4.0,1.0,245.0,Alandi Road,8465.791292328957
Super built-up  Area,Ready To Move,3.0,1330.0,2.0,1.0,48.0,Ambegaon Budruk,3609.0225563909776
Built-up  Area,Ready To Move,2.0,1200.0,2.0,1.0,65.0,Anandnagar,5416.666666666667
Built-up  Area,Ready To Move,3.0,1200.0,3.0,1.0,90.0,Aundh,7500.0
Super built-up  Area,Ready To Move,3.0,2502.0,3.0,3.0,138.0,Aundh Road,5515.587529976019
Built-up  Area,Ready To Move,2.0,650.0,1.0,1.0,17.0,Balaji Nagar,2615.3846153846152
Plot  Area,Ready To Move,3.0,2400.0,2.0,1.0,150.0,Baner,6250.0
Super built-up  Area,Ready To Move,2.0,1007.0,2.0,2.0,43.0,Baner road,4270.109235352532
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,50.0,Bhandarkar Road,4166.666666666667
Super built-up  Area,Ready To Move,2.0,966.0,2.0,2.0,49.9,Bhavani Peth,5165.631469979296
Built-up  Area,Ready To Move,3.0,1630.0,2.0,1.0,98.0,Bibvewadi,6012.269938650306
Built-up  Area,Ready To Move,3.0,1640.0,3.0,2.0,229.0,Bopodi,13963.414634146342
Built-up  Area,Ready To Move,2.0,782.0,2.0,2.0,55.68,Budhwar Peth,7120.204603580562
Super built-up  Area,19-Apr,2.0,1260.0,2.0,2.0,66.78,Bund Garden Road,5300.0
Super built-up  Area,Ready To Move,3.0,1800.0,3.0,3.0,120.0,Camp,6666.666666666667
Super built-up  Area,Ready To Move,3.0,1413.0,2.0,2.0,75.0,Chandan Nagar,5307.855626326964
Super built-up  Area,Ready To Move,2.0,1116.0,2.0,1.0,51.91,Dapodi,4651.433691756272
Super built-up  Area,Ready To Move,3.0,1530.0,2.0,1.0,45.9,Deccan Gymkhana,3000.0
Built-up  Area,Ready To Move,4.0,3700.0,4.0,1.0,225.0,Dehu Road,6081.081081081081
Built-up  Area,Ready To Move,3.0,2497.0,3.0,2.0,140.0,Dhankawadi,5606.728073688426
Super built-up  Area,Ready To Move,3.0,1540.0,2.0,3.0,64.0,Dhayari Phata,4155.8441558441555
Super built-up  Area,18-Dec,3.0,1436.0,3.0,1.0,74.75,Dhole Patil Road,5205.431754874652
Super built-up  Area,18-Jun,2.0,1100.0,2.0,2.0,75.0,Erandwane,6818.181818181818
Plot  Area,Ready To Move,2.0,276.0,3.0,3.0,23.0,Fatima Nagar,8333.333333333334
Super built-up  Area,Ready To Move,3.0,1427.0,3.0,2.0,120.0,Fergusson College Road,8409.250175192712
Super built-up  Area,Ready To Move,3.0,2061.0,3.0,1.0,200.0,Ganesh Peth,9704.02717127608
Super built-up  Area,18-Mar,4.0,5611.5,4.0,0.0,477.0,Ganeshkhind,8500.400962309543
Built-up  Area,Ready To Move,4.0,2650.0,4.0,2.0,150.0,Ghorpade Peth,5660.377358490566
Super built-up  Area,22-Dec,3.0,1282.0,2.0,2.0,68.52,Ghorpadi,5344.773790951638
Built-up  Area,Ready To Move,2.0,1050.0,2.0,1.0,34.0,Gokhale Nagar,3238.095238095238
Built-up  Area,Ready To Move,3.0,1600.0,3.0,2.0,65.0,Gultekdi,4062.5
Super built-up  Area,22-Jan,2.0,945.0,2.0,1.0,54.0,Guruwar peth,5714.285714285715
Super built-up  Area,Ready To Move,2.0,1500.0,2.0,1.0,78.0,Hadapsar,5200.0
Plot  Area,Ready To Move,7.0,950.0,7.0,0.0,115.0,Hadapsar Industrial Estate,12105.263157894737
Built-up  Area,Ready To Move,3.0,1870.0,3.0,3.0,110.0,Hingne Khurd,5882.35294117647
Plot  Area,Ready To Move,3.0,1600.0,3.0,1.0,75.0,Jangali Maharaj Road,4687.5
Super built-up  Area,Ready To Move,2.0,880.0,1.0,1.0,16.5,Kalyani Nagar,1875.0
Plot  Area,Ready To Move,4.0,1200.0,4.0,0.0,210.0,Karve Nagar,17500.0
Super built-up  Area,Ready To Move,3.0,1535.0,3.0,2.0,83.0,Karve Road,5407.166123778502
Built-up  Area,Ready To Move,2.0,950.0,2.0,1.0,57.0,Kasba Peth,6000.0
Super built-up  Area,18-Aug,2.0,1360.0,2.0,1.0,65.0,Katraj,4779.411764705882
Super built-up  Area,19-Mar,2.0,1073.5,2.0,0.0,54.005,Khadaki,5030.740568234746
Super built-up  Area,18-May,3.0,1280.0,3.0,1.0,50.4,Khadki,3937.5
Super built-up  Area,19-Jan,3.0,1260.0,2.0,2.0,85.05,Kharadi,6750.0
Built-up  Area,Ready To Move,8.0,5000.0,8.0,1.5845003933910307,250.0,Kondhwa,5000.0
Super built-up  Area,19-Dec,5.0,3050.0,5.0,1.0,213.0,Kondhwa Budruk,6983.606557377049
Super built-up  Area,Ready To Move,3.0,1563.05,3.0,1.0,105.0,Kondhwa Khurd,6717.635392341896
Super built-up  Area,Ready To Move,2.0,1000.0,2.0,1.0,60.0,Koregaon Park,6000.0
Super built-up  Area,17-Jul,2.0,1167.0,2.0,1.0,43.76,Kothrud,3749.7857754927163
Super built-up  Area,Ready To Move,7.0,4000.0,7.0,2.0,225.0,Law College Road,5625.0
Super built-up  Area,Ready To Move,3.0,1828.0,3.0,1.5845003933910307,110.0,Laxmi Road,6017.505470459519
Super built-up  Area,Ready To Move,2.0,890.0,2.0,1.0,35.0,Lulla Nagar,3932.5842696629215
Super built-up  Area,Ready To Move,3.0,1612.0,3.0,3.0,46.74,Mahatma Gandhi Road,2899.5037220843674
Plot  Area,Ready To Move,6.0,1034.0,5.0,1.5845003933910307,185.0,Mangalwar peth,17891.682785299807
Super built-up  Area,19-Apr,3.0,1710.0,4.0,2.0,91.31,Manik Bagh,5339.766081871345
Super built-up  Area,Ready To Move,2.0,957.0,2.0,1.0,58.0,Market yard,6060.606060606061
Super built-up  Area,18-May,3.0,1250.0,2.0,3.0,44.0,Model colony,3520.0
Super built-up  Area,Ready To Move,3.0,2795.0,4.0,1.5845003933910307,235.0,Mukund Nagar,8407.871198568873
Super built-up  Area,Ready To Move,2.0,1125.0,2.0,2.0,50.0,Mundhawa,4444.444444444444
Super built-up  Area,18-Jul,2.0,1020.0,2.0,1.0,30.6,Nagar Road,3000.0
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,50.0,Nana Peth,4166.666666666667
Super built-up  Area,Ready To Move,3.0,1735.0,3.0,3.0,135.0,Narayan Peth,7780.979827089337
Super built-up  Area,Ready To Move,3.0,2050.0,3.0,1.0,145.0,Narayangaon,7073.170731707317
Plot  Area,Ready To Move,4.0,3750.0,4.0,0.0,760.0,Navi Peth,20266.666666666668
Built-up  Area,Ready To Move,3.0,1350.0,2.0,3.0,48.0,Padmavati,3555.5555555555557
Super built-up  Area,18-May,2.0,1063.0,2.0,1.0,32.0,Parvati Darshan,3010.348071495767
Super built-up  Area,Ready To Move,3.0,1904.0,3.0,1.0,150.0,Pashan,7878.151260504202
Built-up  Area,Ready To Move,4.0,4200.0,4.0,2.0,420.0,Paud Road,10000.0
Super built-up  Area,Ready To Move,3.0,2000.0,3.0,1.0,175.0,Pirangut,8750.0
Super built-up  Area,18-Dec,2.0,1242.5,2.0,0.0,43.49,Prabhat Road,3500.201207243461
Super built-up  Area,Ready To Move,3.0,1425.0,2.0,2.0,75.0,Pune Railway Station,5263.1578947368425
Super built-up  Area,Ready To Move,3.0,1500.0,2.0,1.0,64.5,Rasta Peth,4300.0
Built-up  Area,Ready To Move,2.0,1060.0,2.0,1.0,60.0,Raviwar Peth,5660.377358490566
Built-up  Area,Ready To Move,3.0,1470.0,2.0,2.0,70.0,Sadashiv Peth,4761.9047619047615
Super built-up  Area,Ready To Move,6.0,1300.0,6.0,0.0,99.0,Sahakar Nagar,7615.384615384615
Super built-up  Area,Ready To Move,1.0,450.0,1.0,1.0,11.0,Salunke Vihar,2444.4444444444443
Super built-up  Area,18-Apr,2.0,1152.0,2.0,1.0,64.5,Sasson Road,5598.958333333333
Super built-up  Area,Ready To Move,3.0,1350.0,2.0,1.0,56.0,Satara Road,4148.148148148148
Super built-up  Area,Ready To Move,3.0,1550.0,3.0,3.0,65.0,Senapati Bapat Road,4193.548387096775
Plot  Area,Ready To Move,3.0,1500.0,3.0,2.0,100.0,Shaniwar Peth,6666.666666666667
Plot  Area,Ready To Move,5.0,600.0,3.0,2.0,85.0,Shivaji Nagar,14166.666666666666
Plot  Area,Ready To Move,1.0,400.0,1.0,0.0,14.0,Shukrawar Peth,3500.0
Super built-up  Area,Ready To Move,1.0,705.0,1.0,2.0,67.0,Sinhagad Road,9503.54609929078
Built-up  Area,Ready To Move,2.0,770.0,1.0,1.0,36.0,Somwar Peth,4675.324675324675
Super built-up  Area,Ready To Move,2.0,1242.0,2.0,3.0,51.0,Swargate,4106.280193236715
Super built-up  Area,Ready To Move,3.0,1700.0,3.0,2.0,155.0,Tilak Road,9117.64705882353
Super built-up  Area,Ready To Move,3.0,2144.0,3.0,2.0,145.0,Uruli Devachi,6763.059701492537
Super built-up  Area,21-Jun,3.0,1704.0,3.0,2.0,110.0,Vadgaon Budruk,6455.399061032864
Super built-up  Area,Ready To Move,2.0,1070.0,2.0,1.0,52.0,Wadgaon Sheri,4859.813084112149
Plot  Area,Ready To Move,3.0,1846.0,3.0,2.0,300.0,Viman Nagar,16251.354279523293
Super built-up  Area,Ready To Move,2.0,1340.0,2.0,2.0,55.7,Vishrant Wadi,4156.7164179104475
Built-up  Area,Ready To Move,2.0,1025.0,2.0,1.0,46.0,Wagholi,4487.804878048781
Super built-up  Area,Ready To Move,2.0,1277.5,2.0,0.0,56.8,Wakadewadi,4446.183953033268
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,52.0,Wanowrie,4333.333333333333
Built-up  Area,18-Dec,4.0,2250.0,4.0,1.0,110.0,Warje,4888.888888888889
Super built-up  Area,Ready To Move,3.0,1550.0,2.0,3.0,80.0,Yerawada,5161.290322580645
Plot  Area,Ready To Move,4.0,1200.0,5.0,1.5845003933910307,325.0,Alandi Road,27083.333333333332
Plot  Area,Ready To Move,7.0,1800.0,7.0,1.0,250.0,Ambegaon Budruk,13888.888888888889
Super built-up  Area,Ready To Move,2.0,1200.0,2.0,2.0,60.0,Anandnagar,5000.0
Super built-up  Area,Ready To Move,2.0,1327.0,2.0,2.0,98.0,Aundh,7385.079125847777
Super built-up  Area,Ready To Move,2.0,1186.0,2.0,2.0,58.0,Aundh Road,4890.387858347386
Built-up  Area,Ready To Move,3.0,1783.0,3.0,1.0,115.0,Balaji Nagar,6449.8037016264725
Super built-up  Area,Ready To Move,3.0,1400.0,3.0,2.0,56.0,Baner,4000.0
Super built-up  Area,Ready To Move,2.0,980.0,2.0,1.0,48.0,Baner road,4897.959183673469
Super built-up  Area,Ready To Move,2.0,1285.0,2.0,2.0,82.0,Bhandarkar Road,6381.322957198444
Super built-up  Area,Ready To Move,3.0,912.0,2.0,1.0,70.0,Bhavani Peth,7675.438596491228
Built-up  Area,Ready To Move,2.0,1225.0,2.0,2.0,47.6,Bibvewadi,3885.714285714286
Super built-up  Area,Ready To Move,2.0,1075.0,2.0,1.0,53.0,Bopodi,4930.232558139535
Built-up  Area,Ready To Move,3.0,1260.0,2.0,2.0,54.0,Budhwar Peth,4285.714285714285
Super built-up  Area,Ready To Move,3.0,1282.0,2.0,2.0,48.7,Bund Garden Road,3798.751950078003
Super built-up  Area,Ready To Move,3.0,1909.0,3.0,2.0,88.0,Camp,4609.743321110529
Super built-up  Area,Ready To Move,2.0,1359.0,2.0,1.0,87.0,Chandan Nagar,6401.766004415011
Built-up  Area,Ready To Move,2.0,1207.0,2.0,2.0,43.5,Dapodi,3603.976801988401
Plot  Area,Ready To Move,4.0,1736.0,6.0,0.0,190.0,Deccan Gymkhana,10944.700460829494
Super built-up  Area,20-May,4.0,2850.0,4.0,1.0,428.0,Dehu Road,15017.543859649122
Super built-up  Area,Ready To Move,3.0,1595.0,3.0,2.0,65.0,Dhankawadi,4075.2351097178685
Built-up  Area,18-Jun,3.0,1798.0,3.0,2.0,89.0,Dhayari Phata,4949.944382647386
Super built-up  Area,Ready To Move,3.0,1475.0,3.0,2.0,78.29,Dhole Patil Road,5307.796610169492
Super built-up  Area,Ready To Move,3.0,1580.0,3.0,3.0,100.0,Erandwane,6329.113924050633
Super built-up  Area,Ready To Move,2.0,1295.0,2.0,1.0,65.0,Fatima Nagar,5019.305019305019
Built-up  Area,Ready To Move,6.0,3600.0,6.0,0.0,141.0,Fergusson College Road,3916.6666666666665
Super built-up  Area,Ready To Move,1.0,589.0,1.0,1.0,27.0,Ganesh Peth,4584.040747028863
Super built-up  Area,Ready To Move,3.0,1415.0,3.0,3.0,78.0,Ganeshkhind,5512.367491166077
Super built-up  Area,18-Dec,3.0,1787.0,3.0,2.0,98.29,Ghorpade Peth,5500.279798545048
Super built-up  Area,Ready To Move,3.0,1787.0,3.0,2.0,125.0,Ghorpadi,6994.963626189144
Super built-up  Area,Ready To Move,3.0,1475.0,2.0,3.0,90.0,Gokhale Nagar,6101.6949152542375
Built-up  Area,Ready To Move,4.0,2000.0,4.0,1.0,75.5,Gultekdi,3775.0
Super built-up  Area,19-Mar,2.0,984.0,2.0,1.0,44.28,Guruwar peth,4500.0
Super built-up  Area,19-Dec,3.0,1630.0,2.6926619356786956,1.5845003933910307,74.82,Hadapsar,4590.184049079754
Super built-up  Area,Ready To Move,3.0,2405.0,4.0,2.0,260.0,Hadapsar Industrial Estate,10810.81081081081
Built-up  Area,Ready To Move,2.0,1080.0,2.0,2.0,72.0,Hingne Khurd,6666.666666666667
Plot  Area,Ready To Move,2.0,1500.0,2.0,1.0,115.0,Jangali Maharaj Road,7666.666666666667
Super built-up  Area,Ready To Move,3.0,1900.0,3.0,2.0,119.0,Kalyani Nagar,6263.1578947368425
Super built-up  Area,19-Aug,2.0,805.0,2.0,1.0,22.14,Karve Nagar,2750.3105590062114
Super built-up  Area,Ready To Move,2.0,1153.0,2.0,2.0,56.4,Karve Road,4891.587163920208
Super built-up  Area,Ready To Move,2.0,1148.0,2.0,2.0,60.0,Kasba Peth,5226.480836236934
Super built-up  Area,Ready To Move,2.0,1110.0,2.0,2.0,55.0,Katraj,4954.954954954955
Built-up  Area,Ready To Move,2.0,1100.0,2.0,2.0,42.0,Khadaki,3818.181818181818
Super built-up  Area,Ready To Move,2.0,1290.0,2.0,2.0,110.0,Khadki,8527.131782945737
Super built-up  Area,Ready To Move,3.0,1500.0,2.0,1.0,65.0,Kharadi,4333.333333333333
Super built-up  Area,18-Apr,2.0,1080.0,2.0,2.0,39.0,Kondhwa,3611.1111111111113
Super built-up  Area,21-Jun,3.0,1933.0,3.0,1.0,129.0,Kondhwa Budruk,6673.564407656492
Built-up  Area,Ready To Move,5.0,3500.0,5.0,2.0,150.0,Kondhwa Khurd,4285.714285714285
Built-up  Area,Ready To Move,2.0,1060.0,2.0,2.0,60.0,Koregaon Park,5660.377358490566
Super built-up  Area,18-Aug,1.0,645.0,1.0,1.0,16.45,Kothrud,2550.3875968992247
Plot  Area,Ready To Move,8.0,2600.0,8.0,2.0,180.0,Law College Road,6923.076923076923
Super built-up  Area,18-Sep,1.0,645.0,1.0,1.0,16.45,Laxmi Road,2550.3875968992247
Super built-up  Area,Ready To Move,3.0,1644.0,3.0,3.0,84.0,Lulla Nagar,5109.489051094891
Super built-up  Area,Ready To Move,2.0,1285.0,2.0,3.0,72.5,Mahatma Gandhi Road,5642.023346303502
Plot  Area,Ready To Move,3.0,1200.0,3.0,1.0,90.0,Mangalwar peth,7500.0
Super built-up  Area,Ready To Move,2.0,910.0,2.0,1.0,40.0,Manik Bagh,4395.604395604396
Super built-up  Area,Ready To Move,3.0,1577.0,3.0,1.0,70.0,Market yard,4438.807863031072
Plot  Area,17-May,3.0,4050.0,3.0,2.0,280.0,Model colony,6913.580246913581
Super built-up  Area,Ready To Move,3.0,2420.0,3.0,2.0,185.0,Mukund Nagar,7644.628099173554
Super built-up  Area,Ready To Move,2.0,800.0,1.0,1.0,20.0,Mundhawa,2500.0
Built-up  Area,Ready To Move,2.0,1060.0,2.0,2.0,55.0,Nagar Road,5188.679245283019
Super built-up  Area,Ready To Move,2.0,1270.0,2.0,2.0,93.0,Nana Peth,7322.834645669292
Super built-up  Area,18-Jun,2.0,900.0,2.0,2.0,22.5,Narayan Peth,2500.0
Built-up  Area,Ready To Move,2.0,1280.0,2.0,1.0,69.0,Narayangaon,5390.625
Plot  Area,Ready To Move,4.0,1200.0,2.0,0.0,95.0,Navi Peth,7916.666666666667
Built-up  Area,Ready To Move,2.0,1025.0,2.0,2.0,36.0,Padmavati,3512.1951219512193
Super built-up  Area,17-Jun,2.0,1108.0,2.0,1.0,63.0,Parvati Darshan,5685.9205776173285
Plot  Area,Ready To Move,5.0,1200.0,5.0,1.5845003933910307,170.0,Pashan,14166.666666666666
Super built-up  Area,Ready To Move,3.0,3045.0,3.0,2.0,170.0,Paud Road,5582.922824302134
Plot  Area,Ready To Move,4.0,2900.0,3.0,2.0,300.0,Pirangut,10344.827586206897
Super built-up  Area,Ready To Move,3.0,1500.0,3.0,2.0,75.5,Prabhat Road,5033.333333333333
Super built-up  Area,Ready To Move,2.0,1295.0,2.0,2.0,43.9,Pune Railway Station,3389.96138996139
Super built-up  Area,Ready To Move,2.0,1162.0,2.0,1.0,59.9,Rasta Peth,5154.9053356282275
Super built-up  Area,Ready To Move,2.0,1035.0,2.0,2.0,49.2,Raviwar Peth,4753.623188405797
Built-up  Area,Ready To Move,4.0,1600.0,4.0,0.0,52.8,Sadashiv Peth,3300.0
Super built-up  Area,Ready To Move,3.0,1464.0,3.0,2.0,46.0,Sahakar Nagar,3142.0765027322404
